keydevid,companyid,companyname,keydeveventtypeid,announcedate,gvkey
549354079,24993,Aradigm Corporation,25,20180112,063081
549358983,5496022,CNOOC China Limited,25,20180112,
549358983,7828203,China National Offshore Oil Corporation,25,20180112,
549361922,244241984,Archipel Capital LLC,25,20180112,
549365813,139554117,"Robix Environmental Technologies, Inc.",25,20180112,
549383386,34874958,"AMC Entertainment Holdings, Inc.",25,20180112,177637
549383692,107793539,Malwarebytes Inc.,25,20180112,
549384140,29193,"Grupo Radio Centro, S.A.B. de C.V.",25,20180113,028541
549384172,1530337,"PFM Capital, Inc.",25,20180112,
549384172,8682136,Canaccord Genuity Group Inc.,25,20180112,160778
549384172,10626873,Westcap Management Ltd.,25,20180112,
549384172,28689972,SaskWorks Venture Fund Inc.,25,20180112,
549384172,272485300,Aurora Cannabis Inc.,25,20180112,022449
549398730,287401,"Meridian Bioscience, Inc.",25,20180113,012433
549427882,8865634,Power Sector Assets and Liabilities Management Corporation,25,20180102,
549502370,91868,"Samsung Electronics Co., Ltd.",25,20180111,104604
549509250,10405496,Stuff Limited,25,20180115,
549509250,268243565,Mediaworks Investments Limited,25,20180115,
549510933,1431883,Southern California Edison,25,20180110,014912
549533885,406656676,The Crypto Company,25,20180115,031244
549702669,31158,Marvell Technology Group Ltd.,25,20180116,137310
549702842,28990,"Gibson Brands, Inc.",25,20180116,
549703559,168864,"Advanced Micro Devices, Inc.",25,20180116,001161
549736122,141232,Sun Pharmaceutical Industries Limited,25,20180116,212098
549736785,94192,ION Geophysical Corporation,25,20180116,023810
549741705,13698822,"Yulong Computer Telecommunication Scientific (Shenzhen) Co., Ltd.",25,20180116,
549741705,37123342,"Coolpad Software Tech (Shenzhen) Co., Ltd.",25,20180116,
549741705,269391424,"Dongguan Yulong Telecommunication Tech Co., Ltd.",25,20180116,
549832335,28008918,Katanga Mining Limited,25,20180117,279398
549838176,875937,Home Capital Group Inc.,25,20180117,020487
549861206,655542,Aetna Inc.,25,20180117,001177
549866810,384998,Australia and New Zealand Banking Group Limited,25,20180118,015889
549866810,307416057,United Financial Services Pty Ltd,25,20180118,
549875091,4494963,Clearstream Banking S.A.,25,20180117,
549875091,47132657,Banca UBAE S.p.A.,25,20180117,
549954623,25879838,Banpu Power Public Company Limited,25,20180118,322735
549967257,106485352,"Tesaro, Inc.",25,20180118,170969
549968905,877200,Banpu Public Company Limited,25,20180118,220175
549971745,874318,Dead Sea Works Ltd.,25,20180118,220200
549995033,177031,General Electric Company,25,20180118,005047
549995112,24558792,Yelp Inc.,25,20180118,196268
550010638,30439,"Juniper Networks, Inc.",25,20180118,121718
550038000,537873359,Qudian Inc.,25,20180118,032453
550071956,19071,Barclays Capital PLC,25,20180119,
550071956,323899,Barclays PLC,25,20180119,012673
550071956,391687,Citigroup Inc.,25,20180119,003243
550071956,398625,"The Goldman Sachs Group, Inc.",25,20180119,114628
550071956,410467,Deutsche Bank Aktiengesellschaft,25,20180119,015576
550071956,416620,UBS Group AG,25,20180119,144496
550071956,563937,NatWest Group plc,25,20180119,015634
550071956,658776,JPMorgan Chase & Co.,25,20180119,002968
550071956,2118281,"Bank of America, National Association",25,20180119,
550071956,3535279,"Nomura Securities International, Inc.",25,20180119,
550071956,4182189,Morgan Stanley & Co. LLC,25,20180119,
550071956,4589042,Intercapital Capital Markets LLC,25,20180119,
550071956,37325338,"Credit Suisse AG, New York Branch",25,20180119,
550071956,272284156,"HSBC Bank USA, N.A.",25,20180119,
550087002,4219003,"CUMIS Insurance Society, Inc.",25,20180119,
550089650,134031691,Xunlei Limited,25,20180119,187413
550089678,324490,Vodafone Group Plc,25,20180119,014894
550106894,326067121,ETF Managers Group LLC,25,20180119,
550120118,34665185,"Aerohive Networks, Inc.",25,20180119,019898
550121306,4149997,"Barings BDC, Inc.",25,20180120,176725
550125320,4508982,Malaysia Pacific Corporation Berhad,25,20180119,232124
550272665,57980875,Arizona Board of Regents,25,20180122,
550286845,26765,"CommScope Holding Company, Inc.",25,20180118,
550307175,955392,"Cavium, Inc.",25,20180122,177225
550340289,142651211,Euro Corporation Limited,25,20180123,
550340573,30742864,"Peters Equipment Company, LLC",25,20180119,
550350869,99094498,R&A Telecommunication Group Berhad,25,20180123,274577
550357987,24558792,Yelp Inc.,25,20180123,196268
550378030,139677,Johnson & Johnson,25,20180123,006266
550415700,366230,"OSI Systems, Inc.",25,20180123,065607
550450569,382645,HSBC Holdings plc,25,20180122,015509
550520364,405739,Credit Suisse Group AG,25,20180124,028838
550521323,21842236,"Tire Mart, Inc.",25,20180124,
550522302,4161403,Walmart Canada Corp.,25,20180124,
550523432,349813,"BIOLASE, Inc.",25,20180124,023291
550528746,29364,WebMD Health Corp.,25,20180124,115404
550531315,269101849,Upper Thames Holdings Plc,25,20180124,318785
550537451,30687035,"Eni US Operating Co., Inc.",25,20180124,
550537491,993513,El Dorado Chemical Company,25,20180124,
550537491,4240901,International Chemical Company,25,20180124,
550537491,33062081,"CF Industries, Inc.",25,20180124,
550577377,874687,Woolworths Group Limited,25,20180124,100894
550579851,3738211,"Repsol Oil & Gas USA, LLC",25,20180124,
550622533,321200625,"Universal Protection Service, LP",25,20180124,
550623268,82612922,Turo Inc.,25,20180124,
550633960,314896,United States Steel Corporation,25,20180125,023978
550690234,1332164,Aerotek Inc.,25,20180125,
550690234,10333824,The Beck Group,25,20180125,
550690234,264423796,"M-L Holdings Crane Group, LLC",25,20180125,
550690412,23879,Wedbush Securities Inc.,25,20180125,
550730397,349813,"BIOLASE, Inc.",25,20180125,023291
550731294,1431883,Southern California Edison,25,20180125,014912
550732042,1413208,"Acuity Brands, Inc.",25,20180125,146017
550733286,30798,"Franchise Group, Inc.",25,20180126,188856
550764574,24022175,Advanced Micro-Fabrication Equipment Inc. China,25,20180126,333032
550764576,885779,"Axon Enterprise, Inc.",25,20180126,143912
550780993,114075551,"Ariosa Diagnostics, Inc.",25,20180126,020080
550801748,280838556,backpage.com LLC,25,20180125,
550809820,8100373,Multi-Usage Holdings Berhad,25,20180126,206891
550884811,25395,Ballard Power Systems Inc.,25,20180127,028724
550914684,62240425,"BNP Paribas USA, Inc.",25,20180126,
550962590,113665065,"GoPro, Inc.",25,20180129,020644
550966236,34874958,"AMC Entertainment Holdings, Inc.",25,20180129,177637
551008872,366230,"OSI Systems, Inc.",25,20180129,065607
551016459,4589580,"Actavis Laboratories FL, Inc.",25,20180129,
551051722,39583048,"Electronic Transaction Consultants, LLC",25,20180130,
551051722,58010146,Miami-Dade Expressway Authority Inc.,25,20180130,
551053096,345779,Bausch Health Companies Inc.,25,20180130,029955
551072574,7845151,Connacher Oil and Gas Limited,25,20180130,107107
551197805,279534,"Hovnanian Enterprises, Inc.",25,20180130,005750
551197805,4761215,"K. Hovnanian Enterprises, Inc.",25,20180130,
551197805,23012483,GSO Capital Partners LP,25,20180130,
551235781,6569181,Philip Morris International Inc.,25,20180201,179621
551239295,24331721,InfuSystem Holdings Inc.,25,20180131,174428
551240362,31095937,San Francisco State University,25,20180131,
551240530,243907022,Civeo Corporation,25,20180131,020020
551281550,316299923,Eurocom DBS Ltd.,25,20180131,
551301714,100546355,IDE Group Holdings plc,25,20180201,294959
551357517,360791,Chicago Bridge & Iron Company N.V.,25,20180201,064549
551502178,695204,Bombardier Inc.,25,20180127,014078
551508162,240526,"Kobe Steel, Ltd.",25,20180201,100276
551528069,137304893,"American Renal Associates Holdings, Inc.",25,20180201,026126
551565822,528312,"ASE Technology Holding Co., Ltd.",25,20180202,213412
551591039,246120485,China Huishan Dairy Holdings Company Limited,25,20180202,316236
551624808,241123690,Capitala Finance Corp.,25,20180202,018779
551645932,13295027,Group Lease Public Company Limited,25,20180131,271104
551654085,894727,Société Nationale SNCF SA,25,20180201,210494
551655461,2018176,"Core-Mark Distributors, Inc.",25,20180202,
551732331,269194192,Pefaco International P.L.C.,25,20180202,
551732331,535697923,Calamatta Cuschieri Investment Services Limited,25,20180202,
551836692,116571480,"Signature Healthcare Services, LLC",25,20180205,
551842016,185648,"MetLife, Inc.",25,20180205,133768
551888196,274121159,"Aqua Metals, Inc.",25,20180206,024422
551963458,308047,Teva Pharmaceutical Industries Limited,25,20180206,014538
551966847,6491293,Air Canada,25,20180206,
551979988,29554867,"Bellicum Pharmaceuticals, Inc.",25,20180206,022258
551992558,366230,"OSI Systems, Inc.",25,20180207,065607
552018530,24333,"Advance Auto Parts, Inc.",25,20180206,145977
552066845,24886170,Johnson Matthey Inc.,25,20180207,
552101024,4220911,"Garmin International, Inc.",25,20180207,
552101024,24021469,Navico Holding AS,25,20180207,
552116762,7766191,"Dixon Hughes Goodman, LLP",25,20180207,
552170430,29002,"Gilead Sciences, Inc.",25,20180208,024856
552225903,881725,Dr. Reddy's Laboratories Limited,25,20180208,223098
552274199,49068649,"Fitbit, Inc.",25,20180208,023856
552314514,168864,"Advanced Micro Devices, Inc.",25,20180208,001161
552318407,3168186,Huakan International Mining Inc.,25,20180207,107081
552365980,6479558,"Super Micro Computer, Inc.",25,20180208,176567
552406250,238375177,Straight Path Communications Inc.,25,20180208,018386
552469730,139677,Johnson & Johnson,25,20180209,006266
552471774,731580,Synergy Pharmaceuticals Inc.,25,20180209,175064
552473078,25140523,S.C. RCS & RDS S.A.,25,20180209,
552473078,28224119,Digi Communications N.V.,25,20180209,324228
552473078,53568387,DIGI Távközlési és Szolgáltató Kft.,25,20180209,
552473078,409475266,RCS Management S.A.,25,20180209,
552474950,248256,"Akorn, Inc.",25,20180209,014304
552477846,7665295,OANDA Corporation,25,20180209,
552498231,25798,Bristol-Myers Squibb Company,25,20180210,002403
552498244,298111517,"Ljm Funds Management, Ltd.",25,20180209,
552516108,215630331,Deleum Primera Sdn. Bhd.,25,20180209,
552516529,747501,Project Hawks Merger Sub LLC,25,20180208,143240
552519677,8033616,U.S. Department of Veterans Affairs,25,20180206,
552526688,379484077,Battery Mineral Resources Limited,25,20180208,
552529555,61468192,"ViaDerma, Inc.",25,20180206,183490
552535022,25395,Ballard Power Systems Inc.,25,20180210,028724
552535026,134031691,Xunlei Limited,25,20180210,187413
552537487,242323891,Rex International Holding Limited,25,20180209,315872
552540671,128512300,Link Motion Inc.,25,20180210,186718
552545682,9663498,JSC Stroytransgaz,25,20180206,
552558836,224000750,"Summit Contracting Group, Inc.",25,20180207,
552559115,874117,Keppel Corporation Limited,25,20180211,100076
552559115,1052097,Keppel Offshore & Marine Limited,25,20180211,100311
552560194,144524848,"Uber Technologies, Inc.",25,20180208,035077
552616682,21943957,The Weinstein Company LLC,25,20180212,
552663093,533496144,Alpha Group Us LLC,25,20180212,
552664218,337559,EmCare Holdings Inc.,25,20180212,031140
552664218,387568,Envision Healthcare Corporation,25,20180212,065967
552664218,4212269,EmCare Inc.,25,20180212,
552666637,35929,"Ulta Beauty, Inc.",25,20180212,178704
552667707,7621223,Code Corporation,25,20180212,
552672252,185648,"MetLife, Inc.",25,20180212,133768
552708846,114385778,California Department of Managed Health Care,25,20180213,
552710380,111850163,Pure Collection Ltd,25,20180212,
552729988,37282616,"Hefei Parkson Xiaoyao Plaza Co., Ltd.",25,20180212,
552729988,59172450,Serbadagang Holdings Sdn. Bhd.,25,20180212,
552729988,311615153,"Dashang Group Co., Ltd.",25,20180212,
552729988,552658505,Dalian Tianhe Parkson Shopping Mall Company Limited,25,20180212,
552755069,539897555,"Funko, Inc.",25,20180213,032528
552766461,401890,Quantum Corporation,25,20180213,008867
552766520,250178,Aflac Incorporated,25,20180213,001449
552813229,103599,Xerox Holdings Corporation,25,20180213,011636
552813493,2404915,Daiwa Capital Markets Europe Limited,25,20180202,
552896616,44576381,Sunrun Inc.,25,20180214,024905
552945139,292891,Wells Fargo & Company,25,20180214,008007
552958105,28461754,"I-MED Pharma, Inc.",25,20180214,
552958360,41660644,"Obalon Therapeutics, Inc.",25,20180214,028086
553097348,324490,Vodafone Group Plc,25,20180215,014894
553102073,36018,United Therapeutics Corporation,25,20180216,121440
553102115,263424,Biglari Holdings Inc.,25,20180216,003424
553104313,144524848,"Uber Technologies, Inc.",25,20180210,035077
553113982,12736007,"OHR Pharmaceutical, Inc.",25,20180215,160578
553117628,311760,"Kindred Healthcare, LLC",25,20180215,017239
553120175,4165391,"JELD-WEN, Inc.",25,20180215,
553172649,3449701,"Wynn Resorts, Limited",25,20180216,149318
553172715,1534795,"Continental Resources, Inc.",25,20180216,003469
553172784,30887158,Memphasys Limited,25,20180212,284658
553217346,11131727,China Green (Holdings) Limited,25,20180214,270512
553218091,34874958,"AMC Entertainment Holdings, Inc.",25,20180217,177637
553235264,22227254,Sandmartin International Holdings Limited,25,20180213,272943
553239219,103599,Xerox Holdings Corporation,25,20180213,011636
553239219,412700,FUJIFILM Holdings Corporation,25,20180213,004925
553252164,1532998,"Riot Blockchain, Inc.",25,20180217,148170
553260115,8057882,Lipocine Inc.,25,20180216,018424
553260174,2796622,Galantas Gold Corporation,25,20180216,140187
553266264,51120822,Fibon Berhad,25,20180214,290709
553311726,296308,"Altria Group, Inc.",25,20180214,008543
553311726,3759121,R.J. Reynolds Tobacco Company,25,20180214,
553331894,9805488,Absa Bank Limited,25,20180219,279376
553394002,744031,"LandSafe, Inc.",25,20180216,
553394800,106335,Ford Motor Company,25,20180217,004839
553394800,1022516,"Ford Motor Company of Canada, Limited",25,20180217,004838
553410694,18749,"Amazon.com, Inc.",25,20180216,064768
553411259,21127,Intel Corporation,25,20180219,006008
553411792,305304,U.S. Bancorp,25,20180216,004723
553429112,3188823,LifeVantage Corporation,25,20180219,025027
553455898,252588,AZZ Inc.,25,20180220,001926
553511757,289194,3M Company,25,20180220,007435
553512105,61206100,General Motors Company,25,20180220,005073
553516981,128512300,Link Motion Inc.,25,20180220,186718
553555687,6036178,Clifton Bancorp Inc.,25,20180220,154757
553590932,280903012,TethysAralGas LLP,25,20180220,
553659889,1413208,"Acuity Brands, Inc.",25,20180221,146017
553711423,11368677,Public Joint Stock Company Inter RAO UES,25,20180222,289434
553781155,46084519,Ubiquiti Inc.,25,20180223,187462
553831318,322899,ASM International NV,25,20180223,001166
553836293,6479558,"Super Micro Computer, Inc.",25,20180223,176567
553837898,883941,Shikun & Binui Ltd.,25,20180222,241490
553972087,3449701,"Wynn Resorts, Limited",25,20180223,149318
553972248,106485352,"Tesaro, Inc.",25,20180223,170969
553972425,401890,Quantum Corporation,25,20180223,008867
553973466,738860,"Teva Pharmaceuticals USA, Inc.",25,20180224,
553973466,878525,Torrent Pharmaceuticals Limited,25,20180224,206327
553973466,881725,Dr. Reddy's Laboratories Limited,25,20180224,223098
553973466,1514127,Aurobindo Pharma Limited,25,20180224,238162
553973466,4222360,"Par Pharmaceutical, Inc.",25,20180224,
553973466,9643983,Lupin Limited,25,20180224,
553973466,22074480,Zydus Pharmaceuticals (USA) Inc.,25,20180224,
553973466,25130983,"InvaGen Pharmaceuticals, Inc.",25,20180224,
553973466,70203542,Sun Pharma Global FZE,25,20180224,
553973466,113028080,Msn Laboratories Private Limited,25,20180224,
553973466,214816432,"Accord Healthcare, Inc.",25,20180224,
553973466,276787254,Jubilant Generics Inc.,25,20180224,
553973466,427387503,First Time US Generics LLC,25,20180224,
553978918,34160168,Arbutus Biopharma Corporation,25,20180222,062475
553990690,36143237,Daya CMT Sdn Bhd,25,20180223,
553991052,639759,Lomiko Metals Inc.,25,20180223,106357
553996354,8100373,Multi-Usage Holdings Berhad,25,20180221,206891
553996670,30993690,OSK Capital Sdn Bhd,25,20180222,
553999235,4161655,General Motors of Canada Limited,25,20180220,
553999235,61206100,General Motors Company,25,20180220,005073
554001969,35961030,"MiMedx Group, Inc.",25,20180224,178157
554038013,247156,"Clearfield, Inc.",25,20180224,012482
554090375,268053,E. I. du Pont de Nemours and Company,25,20180221,004087
554090375,249061912,The Chemours Company,25,20180221,022741
554098163,406873191,Coolgarra Minerals Pty Ltd,25,20180221,
554098163,532136904,Gekogold Pty Ltd,25,20180221,
554115594,312932093,Google LLC,25,20180221,
554115838,327112,"Key Technology, Inc.",25,20180223,028641
554141969,98873,The Hershey Company,25,20180226,005597
554141969,267873031,Mars Inc.,25,20180226,
554216501,873792,Toshiba Corporation,25,20180223,010622
554242853,873792,Toshiba Corporation,25,20180126,010622
554256462,20531152,Kraton Corporation,25,20180226,166230
554276248,61468192,"ViaDerma, Inc.",25,20180226,183490
554277716,216694706,LJM Preservation And Growth Fund LP,25,20180226,
554280945,532272972,TK Holdings Inc.,25,20180225,
554282125,24937,Apple Inc.,25,20180226,001690
554544401,139677,Johnson & Johnson,25,20180228,006266
554552227,13295027,Group Lease Public Company Limited,25,20180228,271104
554625497,874859,Bank of Queensland Limited,25,20180226,200575
554625497,128166937,DDH Graham Limited,25,20180226,
554636201,20358882,Minosha India Limited,25,20180226,286566
554690268,34665185,"Aerohive Networks, Inc.",25,20180303,019898
554696447,141317959,"Precipio, Inc.",25,20180226,032078
554696449,9682600,"Farglory Land Development Co., Ltd.",25,20180226,243617
554696651,205263867,Rapier Gold Inc.,25,20180226,017487
554696651,369228234,GFG Resources Inc,25,20180226,028814
554950141,882666,Puncak Niaga Holdings Berhad,25,20180227,230878
554969960,409268,Petróleo Brasileiro S.A. - Petrobras,25,20180301,222111
555067036,29292478,Philippine Gaming Management Corporation,25,20180301,
555073958,47105278,Condor Petroleum Inc.,25,20180301,186908
555106432,34874958,"AMC Entertainment Holdings, Inc.",25,20180302,177637
555129293,25798,Bristol-Myers Squibb Company,25,20180301,002403
555129556,20375528,TTY Biopharm Company Limited,25,20180301,257175
555132561,299412,"Raven Industries, Inc.",25,20180302,008958
555169328,1674636,"AeroVironment, Inc.",25,20180301,176362
555179760,298111517,"Ljm Funds Management, Ltd.",25,20180301,
555205889,309894454,"QuVa Pharma, Inc.",25,20180301,
555231383,874000,MinebeaMitsumi Inc.,25,20180302,019002
555255460,13555550,Opus Group AB (publ),25,20180302,278623
555255460,60897051,"Opus Inspection, Inc.",25,20180302,
555324055,22790619,"I.C. System, Inc.",25,20180302,
555396089,339447,"Henry Schein, Inc.",25,20180308,061494
555396559,35929,"Ulta Beauty, Inc.",25,20180305,178704
555397568,1413208,"Acuity Brands, Inc.",25,20180305,146017
555397890,25984,Callidus Software Inc.,25,20180307,156613
555421542,248256,"Akorn, Inc.",25,20180308,014304
555437872,91868,"Samsung Electronics Co., Ltd.",25,20180308,104604
555437872,3048562,"Samsung Electronics America, Inc.",25,20180308,
555454366,337507,"Grupo Televisa, S.A.B.",25,20180306,029850
555454644,103375,Bayer Aktiengesellschaft,25,20180308,100080
555454644,26203487,"Janssen Pharmaceuticals, Inc.",25,20180308,
555488998,4484412,Blue Star Helium Limited,25,20180308,211523
555494330,37422872,"PacificGMP, Inc.",25,20180305,
555501242,416430,Aeterna Zentaris Inc.,25,20180305,063562
555520724,878957,PTT Exploration and Production Public Company Limited,25,20180307,208623
555528270,24558792,Yelp Inc.,25,20180309,196268
555528854,47838583,"Tianjin Ace Pillar Enterprise Co., Ltd.",25,20180307,
555532719,877200,Banpu Public Company Limited,25,20180306,220175
555532719,25879838,Banpu Power Public Company Limited,25,20180306,322735
555532719,30772409,Banpu International Ltd,25,20180306,
555539851,21127,Intel Corporation,25,20180309,006008
555566902,826449,Banco de Galicia y Buenos Aires S.A.U.,25,20180305,028409
555567061,106882954,"Atlas Financial Holdings, Inc.",25,20180306,186230
555568767,28238,"ESPN, Inc.",25,20180305,
555572161,315394,"Foot Locker, Inc.",25,20180310,011584
555574054,406656676,The Crypto Company,25,20180308,031244
555575766,8100373,Multi-Usage Holdings Berhad,25,20180305,206891
555599328,24993,Aradigm Corporation,25,20180306,063081
555599450,24389756,SuperSonic Imagine SA,25,20180309,317435
555602080,409268,Petróleo Brasileiro S.A. - Petrobras,25,20180307,222111
555606086,53943514,Atlas Financial Holdings Inc.,25,20180308,
555606156,53943514,Atlas Financial Holdings Inc.,25,20180307,
555607314,61145039,"Service Lighting And Electrical Supplies, Inc.",25,20180309,
555609154,33539685,"comScore, Inc.",25,20180306,177780
555611642,882880,Universal Entertainment Corporation,25,20180309,222582
555611642,3449701,"Wynn Resorts, Limited",25,20180309,149318
555611642,33838779,"Aruze USA, Inc.",25,20180309,
555620800,882917,Aenza S.A.A.,25,20180307,237820
555653920,515408,"WageWorks, Inc.",25,20180310,187105
555665892,10530882,"Hines Real Estate Investment Trust, Inc.",25,20180309,
555665892,25984571,Hines Advisors Limited Partnership,25,20180309,
555672310,119041385,Shree Pushkar Chemicals & Fertilisers Limited,25,20180307,320339
555672350,407246,"Intellicheck, Inc.",25,20180309,126020
555672350,1340740,Honeywell International Inc.,25,20180309,001300
555674249,9086326,Sumatec Resources Berhad,25,20180309,259780
555714655,8100373,Multi-Usage Holdings Berhad,25,20180307,206891
555714682,225570492,Euroland & Development Sdn Bhd,25,20180307,
555715803,225570492,Euroland & Development Sdn Bhd,25,20180308,
555719834,240736529,"Rapid Therapeutic Science Laboratories, Inc.",25,20180309,
555745039,4182973,Ardagh Glass Inc.,25,20180312,004861
555777983,24937,Apple Inc.,25,20180312,001690
555777983,33493,QUALCOMM Incorporated,25,20180312,024800
555778894,9429953,Honeywell Automation India Limited,25,20180312,212686
555795626,1532998,"Riot Blockchain, Inc.",25,20180312,148170
555836226,27745,"DST Systems, Inc.",25,20180312,003707
555836262,9405755,Bayer CropScience LP,25,20180313,
555839029,22642097,"Orbit Baby, Inc.",25,20180312,
555848679,182458813,"Advanced Rupture Disk Technology, Inc.",25,20180312,
555858203,51827421,"Diverse Lynx, LLC",25,20180308,
555865553,663731,Old Mutual Limited,25,20180313,229039
555900380,882698,Bank of Baroda,25,20180313,205654
555902761,716949,NatWest Markets Securities Inc.,25,20180313,
555902761,775470,"Nomura Holding America, Inc.",25,20180313,
555902761,3535279,"Nomura Securities International, Inc.",25,20180313,
555902761,22497815,"Nomura Home Equity Loan, Inc.",25,20180313,
555902761,49643944,Nomura Asset Acceptance Corporation,25,20180313,
555902761,61245800,"Nomura Credit and Capital, Inc",25,20180313,
555919752,367049335,"Alliance MMA, Inc.",25,20180313,027868
555942684,35961030,"MiMedx Group, Inc.",25,20180313,178157
555942726,683718,BRF S.A.,25,20180313,205942
555944907,141317959,"Precipio, Inc.",25,20180313,032078
555946003,206802444,"Ekso Bionics Holdings, Inc.",25,20180313,017727
555956544,100846258,"Foundation Medicine, Inc.",25,20180313,018469
555956544,256906841,"Guardant Health, Inc.",25,20180313,034102
555991371,105901833,"Alliqua BioMedical, Inc.",25,20180313,185495
556095378,876962,Oi S.A.,25,20180314,203944
556100271,11368677,Public Joint Stock Company Inter RAO UES,25,20180314,289434
556104729,826449,Banco de Galicia y Buenos Aires S.A.U.,25,20180314,028409
556106643,8083027,U.S. Fish and Wildlife Service,25,20180314,
556148381,247243692,Frankly Inc.,25,20180315,022762
556150030,26259736,"Acadia Healthcare Company, Inc.",25,20180315,192255
556156349,25395,Ballard Power Systems Inc.,25,20180314,028724
556176944,104931952,"IP Navigation Group, LLC",25,20180313,
556176944,158387416,"Marathon Patent Group, Inc.",25,20180313,004384
556176944,247489024,"Clouding IP, LLC",25,20180313,
556176944,381864397,Clouding Corporation,25,20180313,
556196149,409268,Petróleo Brasileiro S.A. - Petrobras,25,20180315,222111
556256263,58018780,Port Authority of New York and New Jersey,25,20180315,
556260337,738860,"Teva Pharmaceuticals USA, Inc.",25,20180315,
556355581,37373657,KF 15 GmbH,25,20180316,
556355581,552939174,Dhv Gmbh,25,20180316,
556382559,185648,"MetLife, Inc.",25,20180317,133768
556384152,405739,Credit Suisse Group AG,25,20180316,028838
556384152,50985610,Janus Index & Calculation Services LLC,25,20180316,
556415805,127681347,"WRIT Media Group, Inc.",25,20180316,
556417889,747487,Syngenta AG,25,20180313,241216
556424648,29554867,"Bellicum Pharmaceuticals, Inc.",25,20180317,022258
556458744,769989,"Amrock, LLC",25,20180316,
556589573,29470,Hilton Worldwide Holdings Inc.,25,20180319,005643
556589573,370714,"Choice Hotels International, Inc.",25,20180319,065615
556589573,13103664,Hyatt Hotels Corporation,25,20180319,183366
556606501,4205259,"Brewers Retail, Inc.",25,20180319,
556606508,24809,AmerisourceBergen Corporation,25,20180319,031673
556606508,36478,Allergan plc,25,20180319,027845
556606508,172207,"Cardinal Health, Inc.",25,20180319,002751
556606508,264625,Purdue Pharma L.P.,25,20180319,
556606508,288195,McKesson Corporation,25,20180319,007171
